date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:38	353/353	---MCZ	200	added ('OK')	text/plain	date:Fri,%2006%20Nov%202020%2009:27:36%20GMT	https://pain2d799069443.wordpress.com/robots.txt		(from )
10:27:38	36208/36208	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2009:27:37%20GMT	https://pain2d799069443.wordpress.com/	D:/HTTrack/datei/web2/pain2d799069443.wordpress.com/index.html	(from )
10:27:38	37496/37496	---MCZ	200	added ('OK')	text/css	etag:W/%225bffef5d-9278%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/comment-likes/css/comment-likes.css,/i/noticons/noticons.css?m=1436783281j&cssminify=yes	D:/HTTrack/datei/web2/s1.wp.com/_static/indexba1f.html	(from https://pain2d799069443.wordpress.com/)
10:27:38	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225dad8f46-eed%22	https://s1.wp.com/wp-content/themes/pub/varia/print.css?m=1571655471h&cssminify=yes	D:/HTTrack/datei/web2/s1.wp.com/wp-content/themes/pub/varia/print9298.css	(from https://pain2d799069443.wordpress.com/)
10:27:38	87596/87596	---MCZ	200	added ('OK')	text/css	etag:W/%225f92ce8e-1aa77%22	https://s1.wp.com/wp-content/themes/pub/hever/style.css?m=1603456472h&cssminify=yes	D:/HTTrack/datei/web2/s1.wp.com/wp-content/themes/pub/hever/stylef7f9.css	(from https://pain2d799069443.wordpress.com/)
10:27:39	1492/1492	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2006%20Nov%202020%2009:27:37%20GMT	https://pain2d799069443.wordpress.com/feed/	D:/HTTrack/datei/web2/pain2d799069443.wordpress.com/feed/index.html	(from https://pain2d799069443.wordpress.com/)
10:27:39	879/879	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222dfaa902aa069492ad03c989969be623%22	https://pain2d799069443.wordpress.com/comments/feed/	D:/HTTrack/datei/web2/pain2d799069443.wordpress.com/comments/feed/index.html	(from https://pain2d799069443.wordpress.com/)
10:27:39	900/900	---MCZ	200	added ('OK')	text/xml	date:Fri,%2006%20Nov%202020%2009:27:38%20GMT	https://pain2d799069443.wordpress.com/xmlrpc.php?rsd	D:/HTTrack/datei/web2/pain2d799069443.wordpress.com/xmlrpc0db0.php	(from https://pain2d799069443.wordpress.com/)
10:27:39	134928/134928	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce2a2b4-20f10%22	https://s2.wp.com/_static/??/wp-includes/js/jquery/jquery.js,/wp-content/js/postmessage.js,/wp-content/js/mobile-useragent-info.js?m=1558356653j	D:/HTTrack/datei/web2/s2.wp.com/_static/index1b73.html	(from https://pain2d799069443.wordpress.com/)
10:27:39	10046/10046	---M--	200	added ('OK')	image/png	etag:%225bffef52-273e%22	https://s2.wp.com/i/webclip.png	D:/HTTrack/datei/web2/s2.wp.com/i/webclip.png	(from https://pain2d799069443.wordpress.com/)
10:27:40	1410/1410	---MCZ	200	added ('OK')	application/xml	date:Fri,%2006%20Nov%202020%2009:27:39%20GMT	https://pain2d799069443.wordpress.com/osd.xml	D:/HTTrack/datei/web2/pain2d799069443.wordpress.com/osd.xml	(from https://pain2d799069443.wordpress.com/)
10:27:40	50995/50995	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2013:40:20%20GMT	https://pain2d799069443.files.wordpress.com/2020/11/qi-bin-w4hbafegiac-unsplash.jpg	D:/HTTrack/datei/web2/pain2d799069443.files.wordpress.com/2020/11/qi-bin-w4hbafegiac-unsplash.jpg	(from https://pain2d799069443.wordpress.com/)
10:27:40	24042/24042	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e8609cc-5dea%22	http://0.gravatar.com/js/gprofiles.js?ver=202045y	D:/HTTrack/datei/web2/0.gravatar.com/js/gprofiles6b4e.js	(from https://pain2d799069443.wordpress.com/)
